Year,Month,Site,Type,Easting,Northing,PM10,PM10_modelled,Hurs,Psl,Rainfall,SfcWind,Sun,Tas,NDVI,UR,PopDen,nearest_road_distance
2016,2,Dundee Lochee Road,Kerbside,338859.24,730774.79,20.21724138,9.910512,79.76831027,1003.527784,53.90731451,4.816318132,104.4844612,3.554481614,0.46240368,Rural Areas,0.006963361,3.659449659
2016,2,Dundee Mains Loan,Rest,340970.55,731892.31,8.531034483,10.19106,79.58272494,1003.511467,53.64533262,4.908151825,103.4482902,3.710825578,0.49845392,Rural Areas,0.006828352,215.8970495
2016,2,Dundee Meadowside,Roadside,340243.04,730658.37,26.52962963,10.57289,79.60295729,1003.520642,49.29879296,4.346309894,104.156177,4.046148567,0.38606936,Rural Areas,0.005197924,5.225675715
2016,2,Dundee Seagate,Kerbside,340486.33,730446.2,15.0862069,10.57289,79.60295729,1003.520642,49.29879296,4.346309894,104.156177,4.046148567,0.22578486,Rural Areas,0.005197924,6.829277012
2016,2,Dundee Whitehall Street,Roadside,340277.72,730154.91,11.62631579,10.57289,79.60295729,1003.520642,49.29879296,4.346309894,104.156177,4.046148567,0.22578486,Rural Areas,0.005197924,72.37791012
2016,2,E Ayrshire Kilmarnock St Marnock St,Roadside,242742,637705,12.6826087,9.542433,82.05289537,1004.770872,148.0655902,4.052574357,72.25268243,4.507539573,0.42539828,Other Urban Areas,0.002772406,8.746726285
2016,2,East Dunbartonshire Bearsden,Roadside,254271.48,672072.75,13.73793103,9.554876,84.84042763,1004.458113,145.4249166,4.510198515,79.70910005,3.679354785,0.5890956,Rural Areas,0.002942088,9.571084396
2016,2,East Dunbartonshire Bishopbriggs,Roadside,260995.7,670132.48,14.99310345,9.95733,84.42236008,1004.51267,134.2150047,4.483174989,77.30353987,3.576263047,0.56292964,Rural Areas,0.002766871,9.929695603
2016,2,East Dunbartonshire Kirkintilloch,Roadside,265683.75,673520.86,13.85,9.749344,84.88819116,1004.470372,130.4535583,4.180317383,77.05830751,3.429459704,0.53690884,Rural Areas,0.003028591,9.422364395
2016,2,East Dunbartonshire Milngavie,Roadside,255325.27,674115.52,12.47241379,9.162085,85.53570253,1004.431113,153.3397938,4.083743911,81.06918954,3.648542925,0.54989184,Rural Areas,0.00274991,9.562910204
2016,2,East Lothian Musselburgh N High St,Roadside,333941,672836,11.81785714,11.44618,82.41361906,1004.197349,51.73280596,5.473438232,85.02521354,4.202200593,0.5232308,Large Urban Areas,0.004932163,11.03844802
2016,2,Edinburgh Currie,Rest,317575.4,667874.3,7.386206897,10.57791,82.9763743,1004.21617,75.72429271,5.054915186,76.90897001,2.812514284,0.57209024,Large Urban Areas,0.002462852,367.6985473
2016,2,Edinburgh Glasgow Road,Roadside,313101,672651,15.84,11.68402,82.47238676,1004.170503,72.52214643,4.559232661,77.782534,3.584060785,0.47661648,Rural Areas,0.000108079,7.179777766
2016,2,Edinburgh Nicolson Street,Roadside,326150,673046,NA,11.02488,80.21198773,1004.171478,59.10600833,6.225778508,78.84995021,4.150398538,0.40104676,Large Urban Areas,0.007336469,7.022324952
2016,2,Edinburgh Queen Street,Roadside,324825.48,674079.54,12.24482759,11.30533,80.21324285,1004.156872,66.01674237,6.144250401,78.63381407,4.111585605,0.4357858,Rural Areas,0.008975768,15.17135145
2016,2,Edinburgh Queensferry Road,Roadside,318734.92,674931.5,17.83793103,11.37644,81.44990832,1004.152548,66.72973556,5.65476443,77.82309256,3.832305665,0.57902792,Rural Areas,0.003790773,8.259895052
2016,2,Edinburgh Salamander St,Roadside,327613.24,676342.55,15.06551724,11.93011,81.02397228,1004.144171,55.16540452,6.862207652,82.92622893,4.309339972,0.28202178,Rural Areas,0.005556022,7.082331756
2016,2,Edinburgh St John's Road,Kerbside,320079.88,672902.79,NA,11.24137,80.70464592,1004.169485,61.80291958,5.24764336,76.97219529,3.926854812,0.44989116,Rural Areas,0.004367238,14.36624253
2016,2,Edinburgh St Leonards,Rest,326264.3,673136.49,9.880769231,11.02488,80.21198773,1004.171478,59.10600833,6.225778508,78.84995021,4.150398538,0.40104676,Rural Areas,0.007336469,44.11561169
2016,2,Edinburgh Tower Street,Roadside,327459.8,676530.8,NA,11.93011,81.02397228,1004.144171,55.16540452,6.862207652,82.92622893,4.309339972,0.28202178,Rural Areas,0.005556022,90.90101946
2016,2,Falkirk Banknock,Roadside,277247,679027,8.796551724,9.244809,84.19195041,1004.346808,163.449832,4.366099136,76.27719254,2.949978678,0.63460432,Rural Areas,0.000168837,6.806042503
2016,2,Falkirk Graham's Road,Roadside,288822,680241,11.83793103,10.4761,82.91205698,1004.267778,152.4637808,4.469309336,73.93812094,3.829929911,0.56556984,Rural Areas,0.00230096,18.15367331
2016,2,Falkirk Grangemouth MC,Rest,292818.05,682006.92,10.45357143,10.3494,82.25842582,1004.209503,113.3719258,4.778759056,72.28572614,4.204053817,0.35618808,Rural Areas,0.000494242,43.16050621
2016,2,Falkirk Haggs,Roadside,278977,679271,13.10357143,11.06707,84.10526913,1004.342552,160.3918516,4.223390617,76.39966284,3.060584892,0.56948936,Other Urban Areas,0.001141593,6.344912512
2016,2,Falkirk Hope St,Roadside,288688.39,680219.33,NA,10.4761,82.91205698,1004.267778,152.4637808,4.469309336,73.93812094,3.829929911,0.56556984,Rural Areas,0.00230096,9.767545758
2016,2,Falkirk Main St Bainsford,Roadside,288563.7,681516.1,9.665517241,10.53836,82.91418945,1004.256808,140.24378,4.455101901,74.0173343,3.835309244,0.480326,Other Urban Areas,0.003891477,7.609453912
2016,2,Falkirk West Bridge Street,Roadside,288457,680064,14.85517241,10.4761,82.91205698,1004.267778,152.4637808,4.469309336,73.93812094,3.829929911,0.56556984,Other Urban Areas,0.00230096,7.354256285
2016,2,Fife Cupar,Roadside,337369.34,714578.52,16.26551724,10.49256,81.77716336,1003.698832,54.25923909,3.693656753,91.79174439,3.647231727,0.50700968,Rural Areas,0.003053321,6.010415946
2016,2,Fife Dunfermline,Roadside,309924.49,687724.72,13.92758621,10.66972,82.12024903,1004.077348,98.8668225,6.519170491,66.23020932,3.400340057,0.88959232,Rural Areas,0.002810611,11.15464231
2016,2,Fife Kirkcaldy,Roadside,329143.57,692986.35,11.875,8.896281,81.72154748,1003.991179,61.16874081,6.565424755,84.91697163,4.113084643,0.3213306,Rural Areas,0.002052568,11.68128734
